재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_Revenue	매출액		19,470,454,452			31,950,585,373	29,680,987,347
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		16,295,343,439			27,347,798,920	26,845,900,915
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		3,175,111,013			4,602,786,453	2,835,086,432
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		2,786,049,192			3,072,344,927	2,561,303,165
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	entity00378363_udf_IS_20196261949235_TotalSellingGeneralAdministrativeExpenses	   판매비		845,580,062			774,660,781	615,575,295
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	entity00378363_udf_IS_201962619492513_TotalSellingGeneralAdministrativeExpenses	   관리비		1,940,469,130			2,297,684,146	1,945,727,870
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익		389,061,821			1,530,441,526	273,783,267
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		20,199,000			32,802,859	24,762,203
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		521,428,469			780,283,868	1,133,407,834
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OtherGains	기타영업외이익		771,516,917			701,471,110	357,571,571
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OtherLosses	기타영업외비용		1,382,208,117			301,411,791	1,439,675,613
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)		-722,858,848			1,183,019,836	-1,916,966,406
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세수익(비용)		-5,403,688			-1,560,747	135,915,402
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)		-728,262,536			1,184,580,583	-2,052,881,808
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncome	기타포괄손익		0			0	81,516,347
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	   후속적으로 당기손익으로 재분류될 수 있는 항목						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax	      매도가능금융자산평가이익		0			0	104,508,137
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	entity00378363_udf_IS_2019626194511194_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	      당기손익으로 재분류될 수 있는 항목의 법인세		0			0	-22,991,790
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	총포괄손익		-728,262,536			1,184,580,583	-1,971,365,461
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   기본및희석주당이익(손실)		-16			27	-49
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_Revenue	영업수익		453,554,892,290			391,780,284,062	339,799,797,610
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_CostOfSales	영업비용		403,268,181,400			351,829,140,355	302,461,374,964
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)		50,286,710,890			39,951,143,707	37,338,422,646
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherGains	기타수익		1,581,708,166			4,215,521,781	5,837,472,937
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherLosses	기타비용		7,529,118,354			11,519,155,546	9,751,965,326
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_20171113224359178_StatementOfComprehensiveIncomeAbstract	종속회사및관계회사투자손익		4,604,478,552			-73,929,688,740	-20,433,783,179
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		13,534,051,735			11,600,451,178	7,239,976,614
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		41,157,409,677			56,717,464,624	37,239,446,145
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2019513101352894_StatementOfComprehensiveIncomeAbstract	매각예정비유동자산처분이익		0			173,600,362,834	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_202132210430767_StatementOfComprehensiveIncomeAbstract	매각예정비유동자산손상차손		211,769,776				
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)		21,108,651,536			87,201,170,590	-17,009,322,453
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		3,988,038,468			36,462,567,591	5,330,341,908
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)		17,120,613,068			50,738,602,999	-22,339,664,361
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncome	기타포괄손익		-9,326,377,085			-1,804,181,393	-255,938,913
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2020513144815999_OtherComprehensiveIncome	   후속적으로 당기손익으로 재분류 할 수 없는 항목						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2020513144935807_udf_IS_2020513144815999_OtherComprehensiveIncome	      기타포괄손익-공정가치측정금융자산 평가이익		271,852,241			-353,370,403	261,225,099
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2020513145017732_udf_IS_2020513144815999_OtherComprehensiveIncome	      (부의)지분법자본변동		-392,685,739			-1,450,810,990	-517,164,012
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2020513144831885_OtherComprehensiveIncome	   후속적으로 당기손익으로 재분류 할 수 있는 항목						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2020513145043256_udf_IS_2020513144831885_OtherComprehensiveIncome	      (부의)지분법자본변동		-9,205,543,587				
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	총포괄손익		7,794,235,983			48,934,421,606	-22,595,603,274
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   기본주당이익(손실)		374			1,084	-477
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 별도재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00125080_udf_IS_2017111015619508_StatementOfComprehensiveIncomeAbstract	영업수익		45,515,031,643			33,947,769,225	33,692,663,411
