재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	당기순이익(손실)의 귀속 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배기업 소유주지분		-1,080,358,319			1,411,081,065	-1,432,239,774
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분		0			0	0
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToAbstract	총 포괄손익의 귀속 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent	   지배기업 소유주지분		-1,063,842,777			1,410,429,464	-1,320,328,655
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	   비지배지분		0			0	0
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[060310]	3S	코스닥시장상장법인	292	특수 목적용 기계 제조업	03	2020-03-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   기본및희석주당이익(손실)		-24			32	-34
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_Revenue	영업수익		1,017,050,375,182			1,000,259,401,598	1,045,526,121,935
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_CostOfSales	영업비용		994,097,597,162			984,610,078,914	1,066,762,174,017
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)		22,952,778,020			15,649,322,684	-21,236,052,082
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherGains	기타수익		38,514,854,794			7,413,115,680	15,721,521,628
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherLosses	기타비용		15,597,786,119			22,937,467,863	8,977,102,971
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2020813144842687_StatementOfComprehensiveIncomeAbstract	매각예정비유동자산처분이익					153,359,196,256	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_20171113224127216_StatementOfComprehensiveIncomeAbstract	관계회사투자손익		-4,662,274,610			523,250,601	810,806,513
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322135644858_StatementOfComprehensiveIncomeAbstract	종속기업처분손실						3,767,138
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		14,818,337,123			9,617,138,112	4,294,430,828
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융비용		58,270,351,102			56,576,385,298	40,018,308,289
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)		-2,244,441,894			107,048,170,172	-49,408,471,511
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		2,609,835,993			40,818,427,469	6,245,207,297
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_20181113161856731_StatementOfComprehensiveIncomeAbstract	계속영업당기순이익(손실)		-4,854,277,887			66,229,742,703	-55,653,678,808
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322133734940_StatementOfComprehensiveIncomeAbstract	중단영업당기순이익		1,537,465,765			-24,101,148,345	92,922,521,246
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)		-3,316,812,122			42,128,594,358	37,268,842,438
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_202132213416956_StatementOfComprehensiveIncomeAbstract	지배기업의 소유주						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322134457464_udf_IS_202132213416956_StatementOfComprehensiveIncomeAbstract	   계속영업당기순이익		-5,078,481,875			69,018,468,969	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_202132213455934_udf_IS_202132213416956_StatementOfComprehensiveIncomeAbstract	   중단영업당기순이익		1,157,816,256			-23,048,832,669	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_202132213458855_udf_IS_202132213416956_StatementOfComprehensiveIncomeAbstract	   지배기업의 소유주 귀속 당기순이익		-3,920,665,619			45,969,636,300	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_202132213448975_StatementOfComprehensiveIncomeAbstract	비지배지분						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322134537307_udf_IS_202132213448975_StatementOfComprehensiveIncomeAbstract	   계속영업당기순이익		224,203,988			-2,788,726,266	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322134538837_udf_IS_202132213448975_StatementOfComprehensiveIncomeAbstract	   중단영업당기순이익		379,649,509			-1,052,315,676	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322134542555_udf_IS_202132213448975_StatementOfComprehensiveIncomeAbstract	   비지배지분 귀속 당기순이익		603,853,497			-3,841,041,942	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncome	기타포괄손익		-9,089,322,485			-2,193,262,016	965,154,156
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_202132213482843_StatementOfComprehensiveIncomeAbstract	지분법자본변동		-518,444,908			-689,894,642	1,438,542
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2019515172518350_StatementOfComprehensiveIncomeAbstract	해외사업환산손익		-9,058,556,901			-617,034,563	191,830,266
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2019322154521579_StatementOfComprehensiveIncomeAbstract	기타포괄손익-공정가치 측정 금융자산 평가이익(손실)		631,025,933			-618,079,129	771,885,348
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322134820292_StatementOfComprehensiveIncomeAbstract	확정급여제도의 재측정요소		-143,346,609			-268,253,682	
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncome	총포괄손익		-12,406,134,607			39,935,332,342	38,233,996,594
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToAbstract	당기순이익(손실)의 귀속 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	   지배회사소유주지분						1,133,299,467
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	   비지배지분						36,135,542,971
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToAbstract	총 포괄손익의 귀속 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent	   지배회사소유주지분		-12,483,659,928			43,647,580,878	1,580,030,654
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests	   비지배지분		77,525,321			-3,712,248,536	36,653,965,940
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_EarningsPerShareAbstract	주당이익 [abstract]						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	   기본주당이익(손실)						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations	      중단영업기본주당이익(손실)		-111			1,474	-1,229
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322151759851_BasicEarningsLossPerShare	      계속영업 기본주당순손익		25			-492	1,253
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_IS_2021322135017318_EarningsPerShareAbstract	   지배회사지분에 대한 주당순손익		-86			982	-24
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_Revenue	수익(매출액)		2,619,977,218,245			3,759,542,062,510	3,711,183,102,751
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_CostOfSales	매출원가		2,157,041,980,835			2,832,480,228,690	2,665,568,343,390
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_GrossProfit	매출총이익		462,935,237,410			927,061,833,820	1,045,614,759,361
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	판매비와관리비		684,490,054,677			795,724,941,961	775,896,863,306
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	영업이익(손실)		-221,554,817,267			131,336,891,859	269,717,896,055
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_OtherGains	기타이익		68,518,173,127			47,419,048,859	33,616,539,100
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_OtherLosses	기타손실		87,572,483,864			71,821,013,632	38,736,336,698
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	금융수익		24,771,958,420			44,365,826,432	39,557,146,034
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	금융원가		130,463,902,400			82,568,115,808	48,569,503,315
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00125080_udf_IS_20171110124754884_StatementOfComprehensiveIncomeAbstract	관계기업에 대한 지분법손익		777,018,654			12,173,886,406	14,216,467,216
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	법인세비용차감전순이익(손실)		-345,524,053,330			80,906,524,116	269,802,208,392
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	법인세비용		-79,748,995,295			23,528,691,539	63,181,809,461
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	당기순이익(손실)		-265,775,058,035			57,377,832,577	206,620,398,931
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00125080_udf_IS_201711101253162_ProfitLoss	   지배기업의 소유주 지분		-153,866,692,945			28,278,294,009	106,906,221,327
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00125080_udf_IS_20171110125339361_ProfitLoss	   비지배지분		-111,908,365,090			29,099,538,568	99,714,177,604
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	ifrs-full_OtherComprehensiveIncome	기타포괄손익		-7,864,597,498			-12,144,549,380	-9,271,791,057
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	   당기손익으로 재분류되지 않는항목(세후기타포괄손익)						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00125080_udf_IS_2018813131218847_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	      확정급여부채재측정요소		-2,693,698,505			-14,616,402,990	-10,372,824,548
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00125080_udf_IS_20171110124926537_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	      지분법이익잉여금변동		-72,835,997			-127,763,370	84,298,068
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00125080_udf_IS_2018813131431559_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax	      기타포괄손익-공정가치측정지분상품평가손익		-1,037,431,692			6,491,846	21,965,210
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	   당기손익으로 재분류될 수 있는 항목(세후기타포괄손익)						
포괄손익계산서, 기능별 분류(세후기타포괄손익) - 연결재무제표	[006840]	AK홀딩스	유가증권시장상장법인	649	기타 금융업	12	2020-12-31	사업보고서	KRW	entity00125080_udf_IS_2018813131555940_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax	      파생상품평가손익		-116,926,888			-344,671,252	109,394,182
